1459,2|0|1
6963,2|3
5653,5|4
4049,2|7|6
5855,8|9
5568,11|8|2|9|10
3314,8|14|2|9|12|10|13
1493,15|2|4|13
3854,9|16
96,4|17
4593,18|19|20
7051,8|2|11|9
2339,22|2|21|13
4515,22|2|23|24
3989,25|2|1|26
6740,27|28|19
385,29|2|13
5150,2|30
4597,31|32
4630,33|19
3379,4|34
5635,35|2|3
8039,24|2
2217,36|37
3855,5|2|4|38
7173,8|2|39|40|9
1012,41|42
8076,44|45|43|4|46
1330,47|8|12|9
3134,49|51|48|19|50
1605,2|21
2068,17|4|52
1093,29|8|2|54|9|53
2198,5|2|4|55
1258,2|21
5031,2|52|4|56|55
976,60|57|58|59
5511,63|61|62
3539,2|64|53
291,65|12|67|66
147,4|68|69
1776,2|3
7865,8|10|9
555,8|2|70|9|10
3621,4|43
3947,65|12
6812,2|3
3520,4|17
6946,2|11|1
1251,45|73|61|12|71|72
5959,75|74|12
5481,4|17
940,2|76|77
1172,2|29
1724,2|21
1149,2|11
2175,2|0|29
1478,8|9|21|2
2717,8|2|9|10|78
4442,2|13
5846,9|8|1|2
5643,2|76|77
3318,79|80|2
8203,5|4
3310,82|81
3669,2|11
4505,2|30
6363,8|9|83|2
1078,11|8|2|85|9|84
6782,86|2|52|4|3
7997,88|89|87
1752,90|2|1
1648,79|2|4|17
3478,2|30
2092,5|4
7626,2|91|53
6611,92|2|91|53
5522,2|3
3091,93|2
3542,4|17
5336,2|1
2580,5|4
2902,4|17
1109,94|57
5034,95|19
1927,2|76
1739,2|76|96
1523,12|97
1066,2|30
7720,2|21
3611,93|2
3818,4|98|52
6934,4|17
2843,4|68
3356,12|99|97
4299,8|9
304,52|4|101|100|17
8172,102|12
1055,5|4
3239,2|3
1505,2|21
4150,2|6
552,31|103|87
7,31|104
5008,31|103|87
4453,2|30
8059,2|21
5655,8|2|9|10|105
4137,2|106
6805,5|4
5741,2|11
7916,4|43
4252,2|21
4190,107|108|19
5577,82|109
5490,2|21
3953,110|2
3904,111|2
30,2|4|112|17
2621,9|8|1|2
7592,110|2
