16,2|0|1
65,2|3
728,5|4
72,2|7|6
632,8|9
1130,11|8|2|9|10
376,8|14|2|9|12|10|13
62,15|2|4|13
387,9|16
626,4|17
890,18|19|20
879,8|2|11|9
283,22|2|21|13
807,22|2|23|24
872,25|2|1|26
574,27|28|19
873,29|2|13
408,2|30
353,31|32
1168,33|19
1123,4|34
786,35|2|3
1437,24|2
235,36|37
690,5|2|4|38
529,8|2|39|40|9
1142,41|42
1479,44|45|43|4|46
721,47|8|12|9
566,49|51|48|19|50
1078,2|21
679,17|4|52
604,29|8|2|54|9|53
744,5|2|4|55
239,2|21
910,2|52|4|56|55
570,60|57|58|59
1701,63|61|62
779,2|64|53
897,65|12|67|66
125,4|68|69
452,2|3
688,8|10|9
194,8|2|70|9|10
319,4|43
206,65|12
165,2|3
560,4|17
284,2|11|1
505,45|73|61|12|71|72
29,75|74|12
730,4|17
220,2|76|77
571,2|29
189,2|21
132,2|11
58,2|0|29
111,8|9|21|2
93,8|2|9|10|78
794,2|13
159,9|8|1|2
1173,2|76|77
17,79|80|2
635,5|4
1154,82|81
770,2|11
637,2|30
628,8|9|83|2
616,11|8|2|85|9|84
865,86|2|52|4|3
1133,88|89|87
546,90|2|1
107,79|2|4|17
237,2|30
912,5|4
196,2|91|53
1131,92|2|91|53
352,2|3
819,93|2
1317,4|17
512,2|1
344,5|4
1165,4|17
706,94|57
782,95|19
634,2|76
258,2|76|96
631,12|97
50,2|30
832,2|21
759,93|2
627,4|98|52
1166,4|17
526,4|68
623,12|99|97
830,8|9
144,52|4|101|100|17
1224,102|12
366,5|4
272,2|3
259,2|21
869,2|6
404,31|103|87
245,31|104
1480,31|103|87
197,2|30
240,2|21
260,8|2|9|10|105
1186,2|106
877,5|4
906,2|11
331,4|43
1576,2|21
1184,107|108|19
1510,82|109
499,2|21
1218,110|2
1136,111|2
790,2|4|112|17
1577,9|8|1|2
215,110|2
1110,8|2|9|13
361,2|4|112|17
203,111|2
246,29|2|13
234,3|2|30
28,93|13|2|6
891,3|8|2|9
221,4|68
1106,8|2|9|10|13
468,8|2|9|13
498,2|0|1
407,2|3
719,2|106
0,21|2|3
576,33|19
1463,2|91
136,4|43
183,92|2|53
86,24|2
60,21|2|3
109,2|76|77
96,2|21
733,8|2|39|9|13|6
247,113|19
676,5|4
1124,57|114
614,115|28|116|19|117
1080,119|81|118|82
474,2|23
578,2|77
1119,120|4|43
540,8|2|9|13
1134,122|82|121|61|123|124
409,2|11
440,82|81|125
52,8|2|39|9|13
1107,8|2|9|13
323,4|69|43
921,5|4|68
818,120|2|1|4|0
232,127|95|20|18|19|128|31|126
704,130|2|0|4|87|129
1497,4|17
549,4|17
817,132|107|133|28|19|131
1319,8|9|21|2
396,2|3
814,135|134|2
1320,120|136|8|85|9|4
510,2|0
677,138|0|137|2
521,2|7|6
413,24|2
670,2|11
550,2|1
1401,24|139|76|2
379,8|9
4100,21|2|1|3
2315,67|66
4540,65|12
3585,2|70
4326,141|19|140
4728,2|30|13
2805,2|112
4877,19|142
4504,3|2|21
4590,93|2|13
3515,113|19
4512,26|8|2|54|9|3
2559,144|143|37
4614,24|145|2
4734,2|78
3796,31|103|87
2613,146|138|11|2
2619,8|2|9|147|10|13
4706,2|91|53|13
2953,65|12
2633,93|2|13
2640,78|1|2|6
2739,5|4
2187,8|2|39|9|13
4417,12|97
3043,8|2|9|10|105
3583,24|2
4438,8|2|39|9|6
1431,31|103|87
3268,11|8|2|9|10|13
3527,146|2
1698,146|2|11
2929,31|103|87
2830,148|149|150|59|151
2834,31|104
4707,79|2|7
2702,12|97
1508,146|152|2
4801,1|112|2|7
2750,146|2|11
4799,2|21
4448,2|3
4633,8|2|9|10|13
4113,136|8|2|9|112
3003,2|21
2585,8|2|93|54|9|30
2703,12|74
3578,8|2|39|9|10|13
2220,152|2|11
3264,8|85|9
2649,75|74|12
2896,12|74
4379,8|10|9
4489,2|1|6
4605,120|2|1|4|0
4800,39|8|9
2615,2|30
2586,11|8|2|85|9|76
2954,5|4
2229,153|65|61|12
3819,39|8|9
2789,154|9
3265,31|103|87
4409,2|138
4531,146|2|0|13
4735,18|19|20
4868,27|28|19|140
1633,40|2|11
2245,102|12
2202,61|155
2795,19|28|132|156
2688,157|158|121|61|124
2577,157|158|121|61|124
2616,157|158|121|61|124
2595,8|2|9|54|53
3266,76|2|23
4288,159|2
2727,4|43
3582,2|112
2694,2|160
2611,2|3
4217,18|161|19
3035,9|12|47
4171,158|162
4581,110|2|163
3044,23|55|76|2
4679,18|19|164
3586,2|165
4610,2|0|91|13
3040,24|2
2716,2|4|68|13
3589,9|12|47
4425,24|2
2601,2|11
2210,2|9|147|12|166
4849,146|152|2
4852,31|61|167|104
611,87|168
2195,2|3
4764,2|7|6
2203,170|107|169|19
4722,9|12|47
4267,40|2|91
4358,8|9|171
3572,40|2
4748,172|125|82|173
4692,2|7|6
4195,2|0|13
3516,1|112|2|13
4214,79|2
3520,24|139|2
4577,2|77
2636,17|4|52
4183,22|2|23|24
2793,93|2|30
3818,24|2
4134,2|0|13
2819,18|19|20
4259,76|2|30
4786,61|121|174|124
4373,79|2
4499,175|176|52|4|56
4133,8|2|9|10|13
4602,2|0
3389,87|177
4385,79|2
2631,40|2
2268,2|11
4347,5|4
4505,8|2|39|9|13
4759,8|2|39|9|13
3522,24|2
4795,4|17
4726,2|11
4332,2|7
2915,2|76|77
4194,110|2
4370,24|2
4481,2|106
4738,2|13
4228,93|2|23|77
2685,2|106
